name,zihao,diqu,jigou,guanzhi,chushen,rensheng&xian,oracle,year,index
"夏雲岫 |
 夏獻雲","金江 |
 ?","四川省 |
 京師","叙州府 馬邊廰 |
 刑部衙門 額外司員","撫夷同知 |
 七品小京官","? |
 拔貢","海城 奉天 |
 新建 江西",0,"1850.5 |
 1851.75",815250
"龔衡齢 |
 李貢齡","? |
 ?","陝西省 |
 京師","甯陝廰 ? |
 太醫院衙門 從九品吏目","撫民同知駐五郎関 |
 空白","? |
 ?","侯官 福建 |
 忠州 四川",0,"1864.0 |
 1864.0",1794344
"李承基 |
 李承謀","? |
 ?","四川省 |
 浙江省","成都府 雙流縣 |
 湖州府 武康縣","典史 |
 典史","監生 |
 附貢","德淸 浙江 |
 婺源 安徽",0,"1862.25 |
 1862.25",1983636
"馬新貽 |
 潘駿章","? |
 茂如","安徽省 |
 福建省","頴州府 建平縣 |
 漳州府 ?","知縣 |
 粮捕同知駐雲南門","進士 |
 監生","荷澤 山東 |
 涇縣 安徽",0,"1851.75 |
 1852.5",536010
"何遠鑑 |
 徐逵吉","? |
 ?","湖北省 |
 山東省","武昌府 嘉魚縣 |
 東昌府 臨清州","教諭 |
 王家淺巡檢","舉人 |
 監生","施南 ? |
 歸安 浙江",0,"1855.5 |
 1855.75",215351
"程國賢 |
 程國觀","? |
 ?","浙江省 |
 山西省","處州府 龍泉縣 |
 代州 ?","知縣 |
 知州","舉人 |
 監生","歙縣 安徽 |
 宛平 順天",0,"1862.25 |
 1863.0",1922783
"任廷璋 |
 程廷鏡","? |
 ?","山西省 |
 河南省","蒲州府 永濟縣 |
 汝州 ?","復設訓導 |
 知州","附貢 |
 監生","汾州府 ? |
 績溪 安徽",0,"1857.5 |
 1858.75",1212762
"裘象坤 |
 盧崑","? |
 ?","京師 |
 江西省","戶部衙門 倉場總督衙門 |
 袁州府 ?","國子監博士 |
 教授","舉人 |
 舉人","會稽 浙江 |
 瑞州 ?",0,"1858.75 |
 1859.5",1500553
"江城 |
 汪金城","? |
 ?","山西省 |
 陜西省","澤州府 沁水縣 |
 漢中府 畧陽縣","端氏鎭巡檢 |
 縣丞","吏員 |
 附貢","呉縣 江蘇 |
 旌德 安徽",0,"1851.75 |
 1852.75",556081
"李嵘 |
 李煊","? |
 ?","盛京 |
 山西省","驛站関防衙门 ? |
 汾州府 介休縣","小黑山馹馹丞 |
 復設訓導","? |
 附貢","二道境 ? |
 平陽 ?",0,"1855.5 |
 1855.75",158522
"朱淵 |
 蕭秀棠","? |
 ?","江西省 |
 河南省","撫州府 臨川縣 |
 開封府 通許縣","縣丞 |
 知縣","監生 |
 ?","石門 浙江 |
 墊江 四川",0,"1856.0 |
 1856.75",1091240
"劉士泰 |
 劉青藜","? |
 ?","廣東省 |
 陜西省","肇慶府 鶴山縣 |
 興安府 石泉縣","訓導 |
 訓導","擧人 |
 拔貢","廣州府 ? |
 西安府 ?",0,"1852.75 |
 1852.75",108890
"徐飬浩 |
 徐啟楨","? |
 ?","山西省 |
 雲南省","忻州 定襄縣 |
 雲南府 富民縣","典史 |
 典史","監生 |
 供事","山隂 浙江 |
 安定 廣東",0,"1860.75 |
 1862.25",2143456
"黄離 |
 席昌齢","? |
 ?","四川省 |
 廣西省","夔州府 巫山縣 |
 梧州府 岑溪縣","復設訓導 |
 上里平河村巡検","嵗貢 |
 監生","成都府 ? |
 宜黄 江西",0,"1857.5 |
 1857.5",1282494
"韓遇春 |
 楊遇東","? |
 ?","四川省 |
 山東省","成都府 華陽縣 |
 武定府 惠民縣","典史 |
 復設訓導","吏員 |
 擧人","大興 順天 |
 濟南 ?",0,"1851.75 |
 1852.5",568310
"鮑彤軒 |
 栗烜","? |
 ?","京師 |
 甘肅省","工部衙門 額外司員 |
 平凉府 ?","郎中 |
 知府","增貢 |
 廪貢","歙縣 安徽 |
 渾源 山西",0,"1856.0 |
 1856.0",996252
"張江 |
 張漢章","? |
 ?","山東省 |
 四川省","濟甯州 ? |
 潼川府 蓬溪縣","吏目 |
 典史","監生 |
 監生","昌平州 順天 |
 雲夢 湖北",0,"1864.0 |
 1864.0",1780042
"魯正 |
 王鯤","? |
 翼南","京師 |
 京師","都察院衙門 東城兵馬司 |
 國子監衙門 算學","特授副指揮 |
 額外學正","監生 |
 ?","會稽 浙江 |
 婺源 安徽",0,"1856.75 |
 1856.75",872363
"朱朝式 |
 朱時霖","? |
 ?","浙江省 |
 廣東省","台州府 甯海縣 |
 肇慶府 高明縣","典史 |
 典史","監生 |
 監生","婁縣 江蘇 |
 大興 順天",0,"1856.0 |
 1856.0",1084239
"王振 |
 王振","? |
 ?","江蘇省 |
 京師","鎭江府 丹徒縣 |
 戶部衙門 貴州司","典史 |
 員外郎","吏員 |
 ?","甯夏 甘肅 |
 馬平 廣西",0,"1860.25 |
 1860.5",2250374
"龍煥霆 |
 龔煥枝","? |
 幹亭","湖南省 |
 湖北省","常德府 ? |
 安陸府 潛江縣","經歷兼司獄 |
 欽陞加銜知縣","監生 |
 ?","欎林 廣西 |
 南昌 江西",0,"1854.75 |
 1854.75",401304
"邢寳第 |
 邢春第","? |
 ?","山西省 |
 江蘇省","澤州府 鳯臺縣 |
 江甯布政司衙門 ?","知縣 |
 整飭江南塩法道分巡江甯兼管水利事務","監生 |
 監生","天津 直隸 |
 天津 直隸",0,"1864.0 |
 1864.0",1791850
"勞崇光 |
 楊光榮","愚齋 |
 ?","雲南省 |
 京師","? ? |
 翰林院衙門 翰林院編修","兵部尚書兼都察院右都御史總督雲貴等處地方提督軍務兼理糧餉 |
 空白","? |
 ?","善化 湖南 |
 貴筑 貴州",0,"1864.0 |
 1864.0",1831512
"徐光籲 |
 余光倬","? |
 ?","四川省 |
 京師","保甯府 閬中縣 |
 刑部衙門 直隸司","知縣 |
 郎中","附貢 |
 ?","銭塘 浙江 |
 武進 江蘇",0,"1860.75 |
 1862.25",2164280
"邵文煦 |
 邵奉詔","? |
 ?","京師 |
 山東省","內閣衙門 漢票籖中書舍人 |
 兖州府 滋陽縣","空白 |
 教諭","? |
 廪貢","餘杭 浙江 |
 沂州 ?",0,"1859.5 |
 1859.75",1314400
"孫堃 |
 孫源","? |
 ?","廣西省 |
 京師","慶遠府 宜山縣 |
 內閣衙門 漢票籖中書舍人","知縣 |
 中書","監生 |
 舉人","大興 順天 |
 ? 浙江",0,"1864.0 |
 1864.0",1826217
"黄文奎 |
 黄文登","星曹 |
 ?","山西省 |
 福建省","忻州 定襄縣 |
 泉州府 同安縣","知縣 |
 復設訓導","? |
 增貢","都昌 江西 |
 建寕 ?",0,"1850.5 |
 1851.75",792282
"王運隆 |
 王逢年","? |
 ?","福建省 |
 山東省","福寕府 福安縣 |
 塩運司衙門 ?","復設教諭 |
 永阜場塩課大使","拔貢 |
 ?","汀州 ? |
 華州 陝西",0,"1854.75 |
 1854.75",389637
"張垿 |
 張瑗","? |
 ?","陝西省 |
 貴州省","鄜州 中部縣 |
 仁懐廰 ?","典史 |
 照磨","監生 |
 監生","長治 山西 |
 太和 雲南",0,"1864.0 |
 1864.0",1799649
"燕甲元 |
 袁嘉楨","? |
 ?","京師 |
 湖北省","兵部衙門 各省駐京提塘 |
 漢陽府 沔陽州","陝甘省塘 |
 吏目","武擧 |
 監生","盩厔 陝西 |
 無錫 江蘇",0,"1854.75 |
 1854.75",319676
"蔣鳯祥 |
 蔣震舉","? |
 ?","浙江省 |
 廣東省","衢州府 西安縣 |
 瓊州府 臨高縣","典史 |
 知縣","供事 |
 舉人","上元 江蘇 |
 全州 廣西",0,"1854.75 |
 1855.0",381474
"程廣德 |
 程光業","? |
 ?","京師 |
 江西省","翰林院衙門 翰林院五經博士 |
 撫州府 金谿縣","空白 |
 典史","? |
 監生","嵩縣 河南 |
 婺源 安徽",0,"1860.75 |
 1861.25",2026501
"張錫麟 |
 張麟書","? |
 ?","河南省 |
 廣西省","開封府 ? |
 桂林府 靈川縣","中河督粮通判 |
 訓導","舉人 |
 嵗貢","儀徵 江蘇 |
 平樂 ?",0,"1858.75 |
 1859.5",1588551
"饒嘉頴 |
 顧樹屏","? |
 煥辰","湖南省 |
 京師","長沙府 湘鄉縣 |
 工部衙門 額外司員","縣丞分駐永豊市 |
 主事都水司行走","監生 |
 廪貢","淸江 江西 |
 廣豊 江西",0,"1860.25 |
 1860.75",2295607
"王夢淸 |
 王慶祺","? |
 ?","河南省 |
 京師","開封府 陳留縣 |
 翰林院衙門 翰林院檢討","訓導 |
 翰林院檢討","拔貢 |
 ?","汝甯 ? |
 寶坻 順天",0,"1862.25 |
 1862.25",1944051
"余居義 |
 俞思益","? |
 ?","直隸省 |
 廣東省","順天府 霸州 |
 ? ?","霸水巡檢駐信安河 |
 粵盈庫大使","監生 |
 廪貢","上元 江蘇 |
 甯夏 甘肅",0,"1855.5 |
 1856.0",161867
"李士芸 |
 李馧","萊峰 |
 ?","京師 |
 廣西省","工部衙門 額外司員 |
 太平府 太平州","主事 |
 土知州","? |
 ?","高陽 直隸 |
 益都 山東",0,"1860.75 |
 1862.25",2042441
"汪汝修 |
 王儒","謹堂 |
 ?","京師 |
 山西省","翰林院衙門 額外典簿 |
 潞安府 襄垣縣","候補典簿 |
 訓導","監生 |
 ?","聞喜 山西 |
 太原府 ?",0,"1855.5 |
 1856.0",134134
