name,zihao,diqu,jigou,guanzhi,chushen,rensheng&xian,oracle,year,index,predicted,uncertainty
"李夢蓮 |
 李夢齢","? |
 ?","山西省 |
 山西省","澤州府 陽城縣 |
 澤州府 沁水縣","復設訓導 |
 復設教諭","廪貢 |
 擧人","平定 ? |
 平定 ?",0,"1855.5 |
 1855.75",255423,0.6,0.6730116670072565
"朱和鳴 |
 朱和鳴","? |
 ?","河南省 |
 廣西省","衛輝府 濬縣 |
 梧州府 藤縣","縣丞 |
 知縣","監生 |
 監生","上元 江蘇 |
 昭文 江蘇",1,"1860.75 |
 1862.25",2125038,0.2,0.5004024235361879
"張文鑣 |
 張文鑣","? |
 補山","甘肅省 |
 甘肅省","蘭州府 狄道州 |
 蘭州府 狄道州","州判駐沙泥馹兼司水利 |
 水利州判駐沙泥馹","吏員 |
 議叙","清苑 直隷 |
 餘姚 浙江",1,"1851.75 |
 1852.5",615504,0.92,0.27876937176658734
"陳介猷 |
 陳介祺","? |
 ?","京師 |
 京師","翰林院衙門 翰林院庶吉士 |
 翰林院衙門 翰林院編修","? |
 ?","? |
 ?","濰縣 山東 |
 濰縣 山東",0,"1852.75 |
 1854.75",6002,0.12,0.36692499127070966
"吳鼎元 |
 呉鼎元","? |
 ?","甘肅省 |
 甘肅省","凉州府 平番縣 |
 西甯府 ?","知縣 |
 河州同知駐循化","舉人 |
 ?","秀山 四川 |
 秀水 四川",1,"1862.25 |
 1864.0",1982159,0.56,0.6859298002503729
"謝兆球 |
 鄧兆球","? |
 ?","陝西省 |
 陝西省","延安府 靖邊縣 |
 延安府 延長縣","典史 |
 典史","附生 |
 附生","溧陽 江蘇 |
 溧陽 江蘇",0,"1860.75 |
 1862.25",2156154,0.36,0.6534181947917017
"季芝昌 |
 李芝昌","仙九 |
 ?","京師 |
 福建省","都察院衙門 ? |
 ? ?","經筵講官都察院左都御史 |
 兵部尚書兼督察院右都御史總督閩浙等處地方提督軍務兼理粮餉","探花 |
 進士","江隂 江蘇 |
 江隂 江蘇",0,"1850.5 |
 1851.75",682262,0.44,0.6859298002503729
"孔廣賢 |
 孔廣晰","? |
 ?","山東省 |
 山東省","兖州府 曲阜縣 |
 兖州府 曲阜縣","七品執事官 |
 七品執事官","? |
 ?","? ? |
 ? ?",0,"1858.75 |
 1859.5",1602033,0.12,0.36692499127070966
"童綬泰 |
 童綬春","? |
 ?","直隸省 |
 直隸省","趙州直隸州 隆平縣 |
 趙州 隆平縣","典史 |
 典史","監生 |
 監生","甯郷 湖南 |
 甯郷 湖南",1,"1856.0 |
 1856.25",1011447,0.44,0.6859298002503729
"陳炳 |
 陳炳","? |
 ?","湖南省 |
 山東省","永州府 ? |
 武定府 利津縣","永桂理猺通判 |
 豊國鎭巡檢","監生 |
 監生","江夏 湖北 |
 大興 順天",0,"1851.75 |
 1852.5",659555,0.08,0.2787693717665874
"陳鴻夀 |
 陳鴻夀","蓮裳 |
 蓮裳","京師 |
 京師","吏部衙門 額外司員 |
 吏部衙門 文選司","主事 |
 掌司務廰印員外郎","? |
 ?","秀水 浙江 |
 大興 順天",1,"1852.75 |
 1854.75",8425,0.28,0.5929533174454745
"管貽夔 |
 管貽萼","? |
 ?","京師 |
 京師","戶部衙門 倉場總督衙門 |
 戶部衙門 倉場總督衙門","儲濟倉監督理內閣典籍 |
 户部員外郎","副榜 |
 ?","陽湖 江蘇 |
 陽湖 江蘇",0,"1857.5 |
 1858.75",1154086,0.4,0.6730116670072565
"宋清夀 |
 宋清夀","芥楣 |
 ?","江蘇省 |
 江南省","太倉州 ? |
 蘇州府 太倉直隷州","學正 |
 學正","優貢 |
 廪貢","蘇州元和 ? |
 蘇州 ?",1,"1850.5 |
 1851.75",708877,0.76,0.5510799280849727
"姚熙 |
 姚煦","? |
 ?","江蘇省 |
 江蘇省","總河部院衙門 ? |
 總漕部院衙門 ?","通濟閘閘官 |
 通濟閘閘官","監生 |
 監生","? 浙江 |
 山隂 浙江",1,"1860.75 |
 1862.25",2074684,0.2,0.5004024235361879
"劉梅楫 |
 劉梅","? |
 補春","山東省 |
 江蘇省","兖州府 汶上縣 |
 總河部院衙門 ?","南旺閘閘官 |
 彭口閘閘官","監生 |
 監生","德淸 浙江 |
 德淸 浙江",0,"1857.5 |
 1858.75",1203478,0.12,0.36692499127070966
"張樞 |
 張樞","? |
 麟閣","山西省 |
 山西省","霍州直隸州 靈石縣 |
 霍州 靈石縣","復設敎諭 |
 復設敎諭","附生 |
 附貢","汾州府 ? |
 介休 ?",1,"1856.0 |
 1856.25",1046904,0.76,0.5510799280849727
"？？？ |
 ？？？","? |
 ?","京師 |
 京師","刑部衙門 額外司員 |
 刑部衙門 額外司員","？？？？？？？？ |
 ？？？？？？？？","貢生 |
 ？？","南海 廣東 |
 ？？ ？？",0,"1859.5 |
 1859.5",1330498,0.16,0.439669879399343
"李廷擧 |
 李廷擧","? |
 ?","陜西省 |
 甘肅省","鳯翔府 扶風縣 |
 鞏昌府 隴西縣","訓導 |
 敎諭","挨貢 |
 拔貢","廸化州 ? |
 廸化 ?",1,"1851.75 |
 1852.75",611869,0.44,0.6859298002503729
"陶大培 |
 陶文培","? |
 ?","陝西省 |
 陝西省","甯陝廰 ? |
 寕陝廰 ?","巡檢兼司獄事 |
 巡檢兼司獄事","供事 |
 議叙","大興 順天 |
 大興 順天",1,"1856.0 |
 1856.25",1061293,0.64,0.6534181947917017
"周洛 |
 周洛","? |
 錦亭","山西省 |
 山西省","潞安府 長治縣 |
 太原府 祁縣","縣丞駐西大鎭 |
 典史","監生 |
 監生","會稽 浙江 |
 山隂 浙江",1,"1852.75 |
 1854.75",75309,0.72,0.5929533174454745
"章楷 |
 張楷","? |
 ?","盛京 |
 直隸省","奉天府 開原縣 |
 正定府 元氏縣","典史 |
 典史","監生 |
 監生","山隂 浙江 |
 山隂 浙江",0,"1854.75 |
 1855.5",334704,0.12,0.36692499127070966
"徐（禾+意） |
 徐檍","? |
 ?","山東省 |
 山東省","濟南府 德州 |
 濟南府 德州","河捕州判駐邊臨鎮 |
 河捕州判駐道臨鎭","優貢 |
 優貢","揚州 江蘇 |
 甘泉 江蘇",1,"1856.0 |
 1856.75",1033865,0.76,0.5510799280849727
"張金鏞 |
 張金鍾","? |
 ?","湖南省 |
 湖南省","? ? |
 ? ?","欽命翰林院編修提督湖南全省學政 |
 欽命翰林院編修提督湖南全省學政","? |
 進士","平湖 浙江 |
 平湖 浙江",1,"1855.5 |
 1856.0",221498,0.32,0.6268694575704263
"郝鳴臯 |
 王鳴皋","? |
 ?","陝西省 |
 陝西省","鳯翔府 鳯翔縣 |
 鳯翔府 汧陽縣","復設訓導 |
 復設教諭","廪貢 |
 附貢","同州 ? |
 同州 ?",0,"1859.5 |
 1859.75",1443287,0.08,0.2787693717665874
"婁淳 |
 單淳","? |
 ?","福建省 |
 山西省","福寕府 寧德縣 |
 甯武府 五寨縣","典史 |
 典史","監生 |
 監生","大興 順天 |
 大興 順天",0,"1854.75 |
 1855.0",389783,0.24,0.5510799280849727
"朱源 |
 朱源","? |
 ?","廣西省 |
 山東省","梧州府 藤縣 |
 靑州府 樂安縣","白石寨巡検 |
 知縣","監生 |
 進士","歸安 浙江 |
 銭塘 浙江",0,"1855.5 |
 1856.0",292602,0.12,0.36692499127070966
"潘遵鴻 |
 潘鴻","? |
 ?","京師 |
 京師","太醫院衙門 八品吏目 |
 太醫院衙門 八品吏目","空白 |
 空白","? |
 ?","宛平 順天 |
 宛平 順天",0,"1858.75 |
 1859.5",1516296,0.88,0.36692499127070966
"潘佐庭 |
 潘佐廷","? |
 秀岩","江蘇省 |
 江蘇省","總漕部院衙門 江南衛所 |
 總漕部院衙門 江南衛所","六帮領運千總 |
 領運千總","俊秀 |
 武生","? 順天 |
 ? 順天",1,"1860.75 |
 1861.25",2071876,0.88,0.36692499127070966
