name,zihao,diqu,jigou,guanzhi,chushen,rensheng&xian,oracle,year,index,predicted,uncertainty
"王之瀚 |
 王之翰","? |
 次屏","湖南省 |
 京師","常德府 武陵縣 |
 翰林院衙門 翰林院編修","復設訓導 |
 ?","附貢 |
 ?","長沙 ? |
 濰縣 山東",0,"1851.75 |
 1852.75",658145,0.44,0.6859298002503729
"彭祖賢 |
 彭祖彝","? |
 ?","京師 |
 京師","戶部衙門 雲南司 |
 刑部衙門 額外司員","郎中 |
 郎中","廕生 |
 副貢","長洲 江蘇 |
 長洲 江蘇",0,"1859.5 |
 1859.5",1320804,0.56,0.6859298002503729
"王棣華 |
 陳棣華","? |
 ?","直隸省 |
 陝西省","永平府 遷安縣 |
 西安府 醴泉縣","典史 |
 典史","監生 |
 監生","陽曲 山西 |
 大興 順天",0,"1860.75 |
 1861.25",2058485,0.4,0.6730116670072565
"郜雲鵠 |
 黃雲鵠","? |
 ?","京師 |
 京師","工部衙門 額外司員 |
 刑部衙門 額外司員","主事 |
 主事","? |
 ?","五河 安徽 |
 蘄州 湖北",0,"1858.75 |
 1859.5",1508609,0.56,0.6859298002503729
"張樹煊 |
 張樹煊","? |
 香坪","江西省 |
 江西省","建昌府 ? |
 建昌府 ?","水利同知 |
 候選知府同知","監生 |
 軍功","沔陽州 湖北 |
 沔陽 湖北",1,"1860.75 |
 1861.25",2086363,0.4,0.6730116670072565
"劉元吉 |
 劉驥","? |
 ?","四川省 |
 四川省","潼川府 蓬溪縣 |
 保甯府 廣元縣","復設敎諭 |
 復設敎諭","恩貢 |
 舉人","成都 ? |
 成都 ?",0,"1855.5 |
 1855.5",277026,0.4,0.6730116670072565
"黄際昌 |
 陳際昌","蓉台 |
 午橋","京師 |
 京師","鴻臚寺衙門 額外序班 |
 禮部衙門 額外司員","? |
 司務","優貢 |
 議叙","宛平 順天 |
 長治 山西",0,"1854.75 |
 1854.75",330269,0.48,0.6923469670879616
"呉尚懋 |
 呉尚德","? |
 ?","廣東省 |
 廣東省","高州府 呉川縣 |
 高州府 呉川縣","復設敎諭 |
 復設敎諭","副榜 |
 副榜","廣州 ? |
 廣州府 ?",0,"1855.5 |
 1856.0",286322,0.56,0.6859298002503729
"曾國藩 |
 曾國荃","? |
 ?","江蘇省 |
 浙江省","兩淮塩院衙門 ? |
 ? ?","協辦大學士兵部尚書兼都察院右都御史總督兩江等處地方提督軍務粮餉操江統轄南河督理兩淮塩漕事務 |
 兵部侍郎兼都察院右副都御史巡撫浙江等處地方節制水陸各鎮提督軍務粮餉","? |
 優貢","湘鄉 湖南 |
 湘郷 湖南",0,"1864.0 |
 1864.0",1720816,0.44,0.6859298002503729
"孫文瀚 |
 孫康生","? |
 ?","四川省 |
 河南省","叙州府 興文縣 |
 衛輝府 封邱縣","典史 |
 典史","監生 |
 供事","大興 順天 |
 大興 順天",0,"1864.0 |
 1864.0",1809237,0.52,0.6923469670879616
"蔡鴻義 |
 蔡應增","? |
 ?","陜西省 |
 江蘇省","延安府 淸澗縣 |
 江甯府 句容縣","典史 |
 典史","監生 |
 供事","大興 順天 |
 大興 順天",0,"1854.75 |
 1855.5",439063,0.48,0.6923469670879616
"金㫋 |
 金䑓","? |
 ?","四川省 |
 雲南省","成都府 華陽縣 |
 廣南府 寳寕縣","知縣 |
 知縣","擧人 |
 監生","? ? |
 大興 順天",0,"1851.75 |
 1852.5",568232,0.48,0.6923469670879616
"蔡世俊 |
 蔡世俊","? |
 又臣","京師 |
 京師","戶部衙門 額外司員 |
 戶部衙門 額外司員","主事 |
 主事江南司兼山西司行走","監生 |
 謄録","? 浙江 |
 仁和 浙江",1,"1857.5 |
 1858.75",1152233,0.44,0.6859298002503729
"夏獻云 |
 夏献蓉","? |
 ?","京師 |
 京師","刑部衙門 額外司員 |
 刑部衙門 額外司員","主事 |
 主事","拔貢 |
 ?","新建 江西 |
 新建 江西",0,"1856.75 |
 1857.0",867641,0.6,0.6730116670072565
"薛維錦 |
 薛維錦","? |
 ?","山東省 |
 山東省","登州府 甯海州 |
 東昌府 ?","復設訓導 |
 教授","舉人 |
 舉人","萊州府 ? |
 萊州 ?",1,"1857.5 |
 1858.75",1208503,0.48,0.6923469670879616
"？？？ |
 ？？？","? |
 ?","京師 |
 河南省","刑部衙門 額外司員 |
 南陽府 南召縣","？？？？？？？？ |
 復設教諭","？？ |
 ？？","？？ ？？ |
 ？？ ?",0,"1859.5 |
 1859.5",1330287,0.44,0.6859298002503729
"江敦和 |
 江勳和","? |
 ?","廣東省 |
 廣東省","廣州府 龍門縣 |
 瓊州府 陵水縣","復設敎諭 |
 復設敎諭","附貢 |
 附貢","高州 ? |
 高州 ?",0,"1864.0 |
 1864.0",1816231,0.56,0.6859298002503729
"何國琛 |
 何國琛","伯英 |
 白英","京師 |
 京師","戶部衙門 額外司員 |
 戶部衙門 廣東司","主事廣西司兼山東司行走 |
 員外郎","? |
 ?","海寕州 浙江 |
 海寕 浙江",1,"1852.75 |
 1854.0",11083,0.48,0.6923469670879616
"劉開基 |
 劉佶","? |
 ?","江西省 |
 福建省","甯都州 瑞金縣 |
 福州府 永福縣","典史 |
 典史","監生 |
 供事","大興 順天 |
 大興 順天",0,"1855.5 |
 1855.5",198251,0.6,0.6730116670072565
